date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,4.68,4.77,4.8,4.68,104154,0,0,5336000000
2026-03-24,4.53,4.68,4.69,4.5,136705,0,0,5336000000
2026-03-23,4.67,4.46,4.7,4.42,153045,0,0,5336000000
2026-03-20,4.91,4.75,4.91,4.75,109404,0,0,5336000000
2026-03-19,4.94,4.87,4.97,4.87,113279,0,0,5336000000
2026-03-18,4.99,5.0,5.01,4.91,110890,0,0,5336000000
2026-03-17,5.03,5.0,5.12,4.99,105246,0,0,5235000000
2026-03-16,4.98,5.02,5.04,4.95,83226,0,0,4989000000
2026-03-13,5.02,4.98,5.04,4.97,87062,0,0,4989000000
2026-03-12,5.05,5.01,5.07,5.0,92438,0,0,4989000000
2026-03-11,5.15,5.05,5.15,5.03,108609,0,0,4989000000
2026-03-10,5.1,5.15,5.15,5.1,81050,0,0,5448000000
2026-03-09,5.1,5.1,5.12,5.01,102431,0,0,5448000000
2026-03-06,5.07,5.16,5.16,5.05,110422,0,0,5448000000
2026-03-05,5.03,5.11,5.17,5.01,134173,0,0,5448000000
2026-03-04,4.93,4.97,5.03,4.92,102605,0,0,5448000000
2026-03-03,5.12,4.91,5.14,4.91,157076,0,0,5448000000
2026-03-02,5.15,5.1,5.2,5.06,191114,0,0,5448000000
2026-02-27,5.23,5.25,5.27,5.22,107908,0,0,5448000000
2026-02-26,5.36,5.25,5.39,5.23,143263,0,0,5448000000
2026-02-25,5.26,5.35,5.38,5.25,146657,0,0,5448000000
2026-02-24,5.33,5.26,5.33,5.18,116710,0,0,5448000000
2026-02-13,5.3,5.29,5.41,5.28,99597,0,0,5448000000
2026-02-12,5.37,5.29,5.38,5.27,102431,0,0,5448000000
2026-02-11,5.38,5.36,5.41,5.33,102381,0,0,5448000000
2026-02-10,5.4,5.38,5.44,5.37,118950,0,0,5448000000
2026-02-09,5.33,5.43,5.45,5.32,166344,0,0,5448000000
2026-02-06,5.3,5.31,5.35,5.23,107837,0,0,5448000000
2026-02-05,5.29,5.31,5.41,5.29,146838,0,0,5448000000
2026-02-04,5.31,5.34,5.35,5.26,148285,0,0,5448000000
2026-02-03,5.29,5.31,5.35,5.22,207402,0,0,5448000000
2026-02-02,5.21,5.1,5.26,5.09,134632,0,0,5448000000
2026-01-30,5.3,5.21,5.31,5.18,194333,0,0,5448000000
2026-01-29,5.29,5.3,5.4,5.21,191291,0,0,5448000000
2026-01-28,5.37,5.29,5.42,5.28,185563,0,0,5448000000
2026-01-27,5.45,5.36,5.46,5.3,260135,0,0,5448000000
2026-01-26,5.64,5.47,5.67,5.42,345966,0,0,5448000000
2026-01-23,5.55,5.69,5.84,5.52,270025,0,0,5448000000
2026-01-22,5.44,5.55,5.57,5.42,190540,0,0,5448000000
2026-01-21,5.62,5.46,5.63,5.42,300485,0,0,5448000000
2026-01-20,5.8,5.67,5.84,5.52,440320,0,0,5448000000
2026-01-19,5.81,5.9,6.08,5.75,268227,0,0,5448000000
2026-01-16,5.9,5.81,5.91,5.66,269658,0,0,5448000000
2026-01-15,5.99,5.87,6.01,5.81,252544,0,0,5448000000
2026-01-14,5.95,6.03,6.17,5.9,430049,0,0,5448000000
2026-01-13,6.2,5.9,6.25,5.89,373834,0,0,5448000000
2026-01-12,6.03,6.2,6.25,5.98,428363,0,0,5448000000
2026-01-09,6.0,6.03,6.09,5.91,364682,0,0,5448000000
2026-01-08,5.77,6.0,6.12,5.76,499316,0,0,5448000000
2026-01-07,5.63,5.8,6.06,5.6,450775,0,0,5448000000
2026-01-06,5.56,5.62,5.66,5.54,213684,0,0,5448000000
2026-01-05,5.48,5.55,5.62,5.44,244354,0,0,5448000000
2025-12-31,5.48,5.49,5.54,5.37,179229,0,0,5448000000
2025-12-30,5.53,5.46,5.55,5.45,177848,0,0,5448000000
2025-12-29,5.45,5.54,5.68,5.43,282875,0,0,5448000000
2025-12-26,5.54,5.46,5.61,5.45,165216,0,0,5448000000
2025-12-25,5.59,5.54,5.62,5.5,139050,0,0,5448000000
2025-12-24,5.39,5.53,5.53,5.39,135359,0,0,5448000000
2025-12-23,5.64,5.42,5.64,5.39,245770,0,0,5448000000
2025-12-22,5.6,5.64,5.66,5.52,205637,0,0,5448000000
2025-12-19,5.55,5.62,5.66,5.52,161012,0,0,5448000000
2025-12-18,5.38,5.58,5.68,5.36,281553,0,0,5448000000
2025-12-17,5.41,5.42,5.45,5.29,185650,0,0,5448000000
2025-12-16,5.42,5.48,5.62,5.29,243666,0,0,5448000000
2025-12-15,5.36,5.42,5.45,5.28,122687,0,0,5448000000
2025-12-12,5.55,5.42,5.57,5.4,174988,0,0,5448000000
2025-12-11,5.76,5.5,5.77,5.45,358490,0,0,5448000000
