date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,25.51,25.74,25.77,24.91,764679,0,0,86653000000
2026-03-24,25.52,26.02,26.06,24.48,732868,0,0,86653000000
2026-03-23,25.87,25.67,26.56,25.32,763508,0,0,86653000000
2026-03-20,25.6,25.65,26.3,25.45,645271,0,0,86653000000
2026-03-19,26.76,26.45,26.76,25.9,770212,0,0,86653000000
2026-03-18,25.89,26.06,26.08,25.48,548760,0,0,86653000000
2026-03-17,26.96,25.99,27.44,25.76,974789,0,0,87596000000
2026-03-16,28.66,27.01,29.07,26.88,882799,0,0,86418000000
2026-03-13,29.68,28.25,29.92,28.02,1197942,0,0,86418000000
2026-03-12,28.4,29.1,30.0,27.64,1298839,0,0,89043000000
2026-03-11,25.71,27.93,28.45,25.42,1373423,0,0,89043000000
2026-03-10,25.63,25.97,26.92,25.56,1483620,0,0,89043000000
2026-03-09,29.3,27.7,29.6,27.57,1991259,0,0,89043000000
2026-03-06,24.4,26.91,26.91,24.3,1044806,0,0,89043000000
2026-03-05,23.97,24.46,24.59,23.18,781549,0,0,89043000000
2026-03-04,23.51,23.66,24.27,23.25,655795,0,0,89043000000
2026-03-03,24.78,23.8,25.27,23.77,882149,0,0,89043000000
2026-03-02,23.98,24.7,24.7,23.28,983336,0,0,89043000000
2026-02-27,23.09,23.38,23.67,23.0,442871,0,0,89043000000
2026-02-26,23.4,23.17,23.7,23.04,472949,0,0,89043000000
2026-02-25,23.06,23.43,24.05,22.81,822118,0,0,89043000000
2026-02-24,22.59,23.13,23.48,22.34,601275,0,0,89043000000
2026-02-13,22.51,22.24,22.68,22.18,452841,0,0,89043000000
2026-02-12,22.82,22.93,23.33,22.7,484292,0,0,89043000000
2026-02-11,22.4,22.84,23.59,22.3,680600,0,0,89043000000
2026-02-10,22.5,22.41,22.57,22.1,371528,0,0,89043000000
2026-02-09,23.01,22.5,23.04,22.32,554756,0,0,89043000000
2026-02-06,21.79,22.74,23.22,21.61,647290,0,0,89043000000
2026-02-05,22.67,22.2,23.27,21.92,575125,0,0,89043000000
2026-02-04,22.72,22.67,22.82,22.16,462457,0,0,89043000000
2026-02-03,22.5,22.57,22.7,21.92,898252,0,0,89043000000
2026-02-02,23.62,21.92,23.7,21.92,1395514,0,0,89043000000
2026-01-30,23.89,24.36,24.69,23.4,991460,0,0,89043000000
2026-01-29,24.5,24.25,25.05,23.67,1273761,0,0,89043000000
2026-01-28,22.24,24.21,24.46,22.24,1302987,0,0,89043000000
2026-01-27,22.58,22.24,23.06,22.06,861613,0,0,89043000000
2026-01-26,22.5,22.71,23.17,22.03,924105,0,0,89043000000
2026-01-23,21.28,22.18,22.59,21.18,999025,0,0,89043000000
2026-01-22,20.81,21.28,21.88,20.66,834828,0,0,89043000000
2026-01-21,20.81,20.7,21.0,20.42,830628,0,0,89043000000
2026-01-20,19.88,20.79,20.8,19.77,1382830,0,0,89043000000
2026-01-19,18.67,19.49,19.64,18.47,786170,0,0,89043000000
2026-01-16,19.0,18.7,19.11,18.65,447947,0,0,89043000000
2026-01-15,18.9,18.98,19.41,18.8,581276,0,0,89043000000
2026-01-14,18.29,18.98,19.08,18.26,1071079,0,0,89043000000
2026-01-13,18.24,18.2,18.56,18.15,462809,0,0,89043000000
2026-01-12,18.48,18.22,18.49,18.14,634007,0,0,89043000000
2026-01-09,18.7,18.52,18.77,18.45,514348,0,0,89043000000
2026-01-08,18.69,18.82,19.1,18.48,605868,0,0,89043000000
2026-01-07,18.52,18.65,18.9,18.51,677056,0,0,89043000000
2026-01-06,17.77,18.52,18.6,17.76,926442,0,0,89043000000
2026-01-05,17.68,17.76,17.88,17.52,463692,0,0,89043000000
2025-12-31,17.63,17.68,17.8,17.49,357319,0,0,89043000000
2025-12-30,17.26,17.68,17.88,17.15,573951,0,0,89043000000
2025-12-29,17.4,17.29,17.48,17.2,286804,0,0,89043000000
2025-12-26,17.48,17.39,17.67,17.25,366780,0,0,89043000000
2025-12-25,16.99,17.43,17.59,16.94,640312,0,0,89043000000
2025-12-24,16.9,16.99,17.03,16.77,324085,0,0,89043000000
2025-12-23,17.0,16.89,17.0,16.8,236021,0,0,89043000000
2025-12-22,16.94,16.95,17.06,16.85,310516,0,0,89043000000
2025-12-19,16.82,16.94,16.97,16.78,284334,0,0,89043000000
2025-12-18,16.54,16.83,17.03,16.5,546852,0,0,89043000000
2025-12-17,16.27,16.65,16.66,16.27,404519,0,0,89043000000
2025-12-16,16.46,16.27,16.5,16.2,305021,0,0,89043000000
2025-12-15,16.36,16.51,16.68,16.26,296122,0,0,89043000000
2025-12-12,16.33,16.43,16.47,16.23,275577,0,0,89043000000
2025-12-11,16.58,16.33,16.65,16.32,293612,0,0,89043000000
2025-12-10,16.45,16.6,16.64,16.33,306801,0,0,89043000000
2025-12-09,16.72,16.5,17.08,16.45,548050,0,0,89043000000
2025-12-08,16.85,16.74,16.88,16.69,278670,0,0,89043000000
2025-12-05,16.47,16.79,16.85,16.44,397090,0,0,89043000000
2025-12-04,16.65,16.52,16.7,16.47,252275,0,0,89043000000
2025-12-03,16.7,16.65,16.86,16.57,329606,0,0,89043000000
2025-12-02,16.97,16.66,16.99,16.63,334042,0,0,89043000000
2025-12-01,16.89,16.97,17.05,16.89,290544,0,0,89043000000
2025-11-28,16.85,16.86,16.98,16.76,228832,0,0,89043000000
2025-11-27,16.74,16.84,16.98,16.72,294591,0,0,89043000000
2025-11-26,16.76,16.73,16.81,16.71,194292,0,0,89043000000
2025-11-25,16.86,16.78,16.98,16.72,307640,0,0,89043000000
2025-11-24,16.8,16.78,16.93,16.6,318127,0,0,89043000000
2025-11-21,17.2,16.71,17.21,16.71,446680,0,0,89043000000
2025-11-20,17.55,17.31,17.68,17.3,302169,0,0,89043000000
2025-11-19,17.34,17.49,17.69,17.3,337371,0,0,89043000000
2025-11-18,17.45,17.36,17.56,17.26,329664,0,0,89043000000
2025-11-17,17.71,17.5,17.8,17.46,533731,0,0,89043000000
2025-11-14,18.11,17.81,18.27,17.81,448568,0,0,89043000000
2025-11-13,18.17,18.28,18.42,18.07,431732,0,0,89043000000
2025-11-12,18.2,18.26,18.43,18.04,343335,0,0,89043000000
2025-11-11,18.2,18.18,18.32,18.06,314957,0,0,89043000000
2025-11-10,18.15,18.32,18.53,18.11,695406,0,0,89043000000
2025-11-07,17.53,18.0,18.33,17.43,868355,0,0,89043000000
2025-11-06,17.36,17.55,17.58,17.33,371092,0,0,89043000000
2025-11-05,17.21,17.36,17.44,17.17,283906,0,0,89043000000
2025-11-04,17.7,17.39,17.76,17.34,406412,0,0,89043000000
2025-11-03,18.0,17.75,18.04,17.55,442019,0,0,89043000000
2025-10-31,17.87,17.91,18.27,17.85,607739,0,0,89043000000
2025-10-30,17.92,17.63,17.99,17.63,396909,0,0,89043000000
2025-10-29,17.75,17.9,17.95,17.56,448128,0,0,89043000000
2025-10-28,17.93,17.73,17.94,17.71,411868,0,0,89043000000
2025-10-27,18.23,17.99,18.25,17.91,576774,0,0,89043000000
2025-10-24,18.23,18.24,18.44,18.07,322204,0,0,89043000000
2025-10-23,17.98,18.19,18.25,17.9,231789,0,0,89043000000
2025-10-22,18.06,18.02,18.15,17.98,172486,0,0,89043000000
2025-10-21,18.0,18.17,18.26,17.86,217654,0,0,89043000000
2025-10-20,17.88,18.0,18.09,17.78,290747,0,0,89043000000
2025-10-17,18.13,17.74,18.25,17.7,402684,0,0,89043000000
2025-10-16,18.58,18.22,18.59,18.15,349928,0,0,89043000000
2025-10-15,18.56,18.58,18.76,18.41,307430,0,0,89043000000
2025-10-14,18.88,18.54,19.23,18.4,504979,0,0,89043000000
2025-10-13,18.33,18.84,18.9,18.33,672871,0,0,89043000000
2025-10-10,19.57,19.75,20.0,19.44,519351,0,0,89043000000
2025-10-09,19.35,19.75,19.76,18.72,538102,0,0,89043000000
2025-09-30,19.27,19.34,19.37,19.06,401262,0,0,89043000000
2025-09-29,19.48,19.3,19.58,19.05,372648,0,0,89043000000
2025-09-26,19.08,19.44,19.78,18.97,641237,0,0,89043000000
2025-09-25,18.68,19.04,19.1,18.66,405506,0,0,89043000000
2025-09-24,18.47,18.7,18.74,18.39,258602,0,0,89043000000
2025-09-23,18.92,18.56,18.94,18.36,396565,0,0,89043000000
2025-09-22,19.0,18.97,19.09,18.81,246964,0,0,89043000000
2025-09-19,18.82,19.11,19.18,18.82,284437,0,0,89043000000
2025-09-18,19.4,18.91,19.42,18.78,454744,0,0,89043000000
2025-09-17,19.31,19.35,19.43,19.22,305347,0,0,89043000000
2025-09-16,19.73,19.41,19.84,19.12,469116,0,0,89043000000
2025-09-15,19.91,19.67,20.24,19.63,321028,0,0,89043000000
2025-09-12,20.1,19.92,20.1,19.81,360277,0,0,89043000000
2025-09-11,19.79,20.04,20.04,19.57,446196,0,0,89043000000
2025-09-10,20.0,19.86,20.05,19.61,378591,0,0,89043000000
2025-09-09,20.5,20.07,20.52,19.95,456527,0,0,89043000000
2025-09-08,19.8,20.5,20.56,19.66,673121,0,0,89043000000
2025-09-05,19.42,19.81,19.82,19.34,426769,0,0,89043000000
2025-09-04,19.58,19.42,19.65,19.18,451987,0,0,89043000000
2025-09-03,19.71,19.57,19.9,19.44,380119,0,0,89043000000
2025-09-02,20.0,19.65,20.24,19.42,516352,0,0,89043000000
2025-09-01,20.08,20.0,20.09,19.84,401106,0,0,89043000000
2025-08-29,20.15,20.09,20.39,19.92,501931,0,0,89043000000
2025-08-28,19.87,20.07,20.11,19.52,593927,0,0,89043000000
2025-08-27,20.5,19.88,20.55,19.87,721984,0,0,89043000000
2025-08-26,20.22,20.57,21.02,20.05,773123,0,0,89043000000
2025-08-25,20.39,20.18,20.44,19.96,794589,0,0,89043000000
2025-08-22,19.92,19.89,20.13,19.76,581998,0,0,89043000000
2025-08-21,19.51,19.98,20.45,19.47,1373662,0,0,89043000000
2025-08-20,18.89,19.21,19.21,18.8,577065,0,0,89043000000
2025-08-19,18.89,18.86,19.18,18.83,459691,0,0,89043000000
2025-08-18,18.99,18.9,19.08,18.81,639520,0,0,89043000000
2025-08-15,18.64,18.95,19.01,18.63,426914,0,0,89043000000
2025-08-14,18.89,18.63,18.98,18.5,439436,0,0,89043000000
2025-08-13,19.08,18.85,19.12,18.78,550677,0,0,89043000000
