date,open,close,high,low,volume,amount,turnover,market_cap
2026-03-25,78.93,80.99,81.2,78.93,126181,0,0,12803000000
2026-03-24,77.5,78.01,78.36,76.04,109548,0,0,12803000000
2026-03-23,79.0,76.26,80.17,76.0,128268,0,0,12803000000
2026-03-20,80.5,81.01,82.27,79.42,107027,0,0,12803000000
2026-03-19,83.0,80.91,83.3,80.4,133858,0,0,12803000000
2026-03-18,85.25,84.49,85.59,83.02,88434,0,0,12332000000
2026-03-17,86.41,85.24,87.17,85.04,83844,0,0,12056000000
2026-03-16,88.55,86.72,88.78,86.25,117339,0,0,12056000000
2026-03-13,85.97,90.0,91.68,85.02,184896,0,0,12056000000
2026-03-12,88.88,86.57,88.9,85.51,166357,0,0,12791000000
2026-03-11,92.07,89.95,93.46,89.8,155459,0,0,12791000000
2026-03-10,92.0,91.46,92.5,90.0,132653,0,0,12791000000
2026-03-09,92.8,91.02,94.3,88.44,157253,0,0,12791000000
2026-03-06,90.9,93.04,95.9,90.06,166252,0,0,12791000000
2026-03-05,95.49,92.39,95.92,90.84,207584,0,0,12791000000
2026-03-04,90.33,94.5,97.17,90.03,230841,0,0,12791000000
2026-03-03,99.65,93.05,100.63,92.41,284639,0,0,12791000000
2026-03-02,98.0,100.65,102.91,94.03,339907,0,0,12791000000
2026-02-27,92.32,96.07,97.33,92.19,213263,0,0,12791000000
2026-02-26,92.19,93.1,94.49,91.04,150582,0,0,12791000000
2026-02-25,89.5,93.39,94.79,89.15,263428,0,0,12791000000
2026-02-24,91.65,88.55,92.35,88.08,162719,0,0,12791000000
2026-02-13,91.3,89.0,91.73,88.61,194890,0,0,12791000000
2026-02-12,93.2,92.64,94.62,92.3,155254,0,0,12791000000
2026-02-11,91.3,93.35,96.58,91.3,214873,0,0,12791000000
2026-02-10,89.85,92.59,94.83,89.48,274869,0,0,12791000000
2026-02-09,87.58,88.27,89.14,85.61,189369,0,0,12791000000
2026-02-06,83.0,85.61,87.79,83.0,186715,0,0,12791000000
2026-02-05,87.04,86.01,88.98,85.1,240971,0,0,12791000000
2026-02-04,97.0,91.8,97.2,90.55,243151,0,0,12791000000
2026-02-03,90.0,94.89,95.35,87.88,280670,0,0,12791000000
2026-02-02,88.01,88.01,92.01,88.0,263615,0,0,12791000000
2026-01-30,92.8,93.58,95.99,87.6,398170,0,0,12791000000
2026-01-29,100.0,97.0,104.87,96.0,417888,0,0,12791000000
2026-01-28,93.5,98.0,98.6,91.97,357676,0,0,12791000000
2026-01-27,96.0,91.4,98.15,89.02,510136,0,0,12791000000
2026-01-26,90.91,98.89,99.65,89.19,445697,0,0,12791000000
2026-01-23,86.18,90.72,92.56,83.77,411709,0,0,12791000000
2026-01-22,87.7,87.05,93.99,83.7,452962,0,0,12791000000
2026-01-21,86.5,86.32,88.5,84.25,415036,0,0,12791000000
2026-01-20,80.18,86.08,87.0,78.26,451324,0,0,12791000000
2026-01-19,75.02,80.28,81.84,75.01,457016,0,0,12791000000
2026-01-16,70.03,74.4,75.96,70.02,421734,0,0,12791000000
2026-01-15,67.57,70.1,72.68,67.57,391139,0,0,12791000000
2026-01-14,68.82,66.73,70.56,65.88,311300,0,0,12791000000
2026-01-13,68.48,69.21,71.09,67.24,296338,0,0,12791000000
2026-01-12,68.61,68.55,69.89,67.4,329519,0,0,12791000000
2026-01-09,63.45,68.46,70.0,63.18,451116,0,0,12791000000
2026-01-08,64.0,63.82,65.27,63.68,225139,0,0,12791000000
2026-01-07,63.77,64.83,66.18,63.0,357907,0,0,12791000000
2026-01-06,62.96,63.79,64.66,62.71,300152,0,0,12791000000
2026-01-05,61.52,61.94,62.62,61.0,181441,0,0,12791000000
2025-12-31,60.33,60.92,61.65,59.55,189410,0,0,12791000000
2025-12-30,61.98,60.89,61.99,60.71,222285,0,0,12791000000
2025-12-29,64.0,62.57,64.28,62.3,223329,0,0,12791000000
2025-12-26,62.47,64.43,64.93,61.58,362041,0,0,12791000000
2025-12-25,62.27,62.35,63.15,62.02,176038,0,0,12791000000
2025-12-24,62.24,62.93,63.23,61.28,200971,0,0,12791000000
2025-12-23,64.69,62.22,64.69,62.0,304807,0,0,12791000000
2025-12-22,63.8,64.43,64.64,63.2,239052,0,0,12791000000
2025-12-19,65.08,64.14,65.5,63.3,267452,0,0,12791000000
2025-12-18,64.0,64.0,65.41,63.65,263786,0,0,12791000000
2025-12-17,66.02,64.65,66.7,63.99,420723,0,0,12791000000
2025-12-16,72.78,67.48,73.55,67.48,684077,0,0,12791000000
2025-12-15,68.33,74.98,76.23,68.33,844303,0,0,12791000000
2025-12-12,67.0,69.3,72.69,64.55,774482,0,0,12791000000
2025-12-11,63.21,67.68,70.27,61.79,824676,0,0,12791000000
2025-12-10,67.0,63.88,67.32,62.85,510962,0,0,12791000000
2025-12-09,67.34,67.8,69.5,65.75,502733,0,0,12791000000
2025-12-08,64.59,68.75,69.6,63.0,603741,0,0,12791000000
2025-12-05,68.1,65.89,70.16,64.51,697322,0,0,12791000000
2025-12-04,68.5,69.49,76.89,65.55,967102,0,0,12791000000
2025-12-03,62.0,67.99,80.0,58.88,1225986,0,0,12791000000
